TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612741,Chicago Bulls,CHI,10,10,1.0,45.6,95.3,0.478,0.544,0.598,33.2,57.0,0.582,0.402,12.4,38.3,0.324
1610612743,Denver Nuggets,DEN,10,10,1.0,44.1,93.4,0.472,0.547,0.578,30.1,54.0,0.557,0.422,14.0,39.4,0.355
1610612762,Utah Jazz,UTA,9,9,1.0,44.11,93.22,0.473,0.551,0.572,29.67,53.33,0.556,0.428,14.44,39.89,0.362
1610612764,Washington Wizards,WAS,8,8,1.0,43.38,92.63,0.468,0.549,0.557,28.38,51.63,0.55,0.443,15.0,41.0,0.366
1610612756,Phoenix Suns,PHX,10,10,1.0,41.1,91.7,0.448,0.519,0.605,28.1,55.5,0.506,0.395,13.0,36.2,0.359
1610612763,Memphis Grizzlies,MEM,11,11,1.0,39.64,91.36,0.434,0.51,0.542,25.73,49.55,0.519,0.458,13.91,41.82,0.333
1610612747,Los Angeles Lakers,LAL,10,10,1.0,43.9,91.3,0.481,0.553,0.595,30.8,54.3,0.567,0.405,13.1,37.0,0.354
1610612744,Golden State Warriors,GSW,10,10,1.0,39.2,90.8,0.432,0.499,0.578,27.0,52.5,0.514,0.422,12.2,38.3,0.319
1610612754,Indiana Pacers,IND,10,10,1.0,42.8,90.7,0.472,0.539,0.595,30.6,54.0,0.567,0.405,12.2,36.7,0.332
1610612737,Atlanta Hawks,ATL,11,11,1.0,42.73,90.45,0.472,0.565,0.537,26.0,48.55,0.536,0.463,16.73,41.91,0.399
1610612738,Boston Celtics,BOS,11,11,1.0,41.36,90.0,0.46,0.527,0.597,29.18,53.73,0.543,0.403,12.18,36.27,0.336
1610612740,New Orleans Pelicans,NOP,10,10,1.0,44.8,89.6,0.5,0.576,0.598,31.1,53.6,0.58,0.402,13.7,36.0,0.381
1610612758,Sacramento Kings,SAC,10,10,1.0,40.6,89.6,0.453,0.534,0.556,26.1,49.8,0.524,0.444,14.5,39.8,0.364
1610612749,Milwaukee Bucks,MIL,10,10,1.0,41.3,89.0,0.464,0.55,0.539,26.0,48.0,0.542,0.461,15.3,41.0,0.373
1610612757,Portland Trail Blazers,POR,11,11,1.0,42.0,88.55,0.474,0.56,0.54,26.82,47.82,0.561,0.46,15.18,40.73,0.373
1610612759,San Antonio Spurs,SAS,9,9,1.0,40.33,88.22,0.457,0.531,0.597,27.33,52.67,0.519,0.403,13.0,35.56,0.366
1610612742,Dallas Mavericks,DAL,10,10,1.0,39.7,88.1,0.451,0.522,0.585,27.2,51.5,0.528,0.415,12.5,36.6,0.342
1610612750,Minnesota Timberwolves,MIN,10,10,1.0,40.5,87.9,0.461,0.522,0.619,29.7,54.4,0.546,0.381,10.8,33.5,0.322
1610612760,Oklahoma City Thunder,OKC,10,10,1.0,36.4,87.8,0.415,0.485,0.575,24.1,50.5,0.477,0.425,12.3,37.3,0.33
1610612748,Miami Heat,MIA,9,9,1.0,40.44,87.56,0.462,0.544,0.552,26.11,48.33,0.54,0.448,14.33,39.22,0.365
1610612761,Toronto Raptors,TOR,11,11,1.0,42.27,87.18,0.485,0.552,0.621,30.55,54.18,0.564,0.379,11.73,33.0,0.355
1610612765,Detroit Pistons,DET,11,11,1.0,39.55,87.18,0.454,0.526,0.587,26.91,51.18,0.526,0.413,12.64,36.0,0.351
1610612739,Cleveland Cavaliers,CLE,11,11,1.0,39.82,87.0,0.458,0.532,0.602,26.91,52.36,0.514,0.398,12.91,34.64,0.373
1610612766,Charlotte Hornets,CHA,10,10,1.0,40.3,86.9,0.464,0.536,0.575,27.8,50.0,0.556,0.425,12.5,36.9,0.339
1610612752,New York Knicks,NYK,9,9,1.0,41.67,86.78,0.48,0.559,0.554,28.0,48.11,0.582,0.446,13.67,38.67,0.353
1610612745,Houston Rockets,HOU,9,9,1.0,38.33,85.67,0.447,0.519,0.615,26.11,52.67,0.496,0.385,12.22,33.0,0.37
1610612746,LA Clippers,LAC,10,10,1.0,38.4,84.2,0.456,0.529,0.577,26.1,48.6,0.537,0.423,12.3,35.6,0.346
1610612753,Orlando Magic,ORL,11,11,1.0,38.27,82.91,0.462,0.535,0.606,26.18,50.27,0.521,0.394,12.09,32.64,0.37
1610612755,Philadelphia 76ers,PHI,9,9,1.0,40.44,82.11,0.493,0.57,0.589,27.67,48.33,0.572,0.411,12.78,33.78,0.378
1610612751,Brooklyn Nets,BKN,10,10,1.0,39.2,81.9,0.479,0.549,0.59,27.7,48.3,0.573,0.41,11.5,33.6,0.342
