PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,FROM_YEAR,TO_YEAR,PTS,REB,AST,STATS_TIMEFRAME
1630173,Achiuwa,Precious,precious-achiuwa,1610612752,knicks,0,New York,Knicks,NYK,5,F,6-8,243,Memphis,Nigeria,2020,1,20,1.0,2020,2024,,,,Season
203500,Adams,Steven,steven-adams,1610612745,rockets,0,Houston,Rockets,HOU,12,C,6-11,265,Pittsburgh,New Zealand,2013,1,12,1.0,2013,2024,3.8,2.8,1.8,Season
1628389,Adebayo,Bam,bam-adebayo,1610612748,heat,0,Miami,Heat,MIA,13,C-F,6-9,255,Kentucky,USA,2017,1,14,1.0,2017,2024,14.8,8.8,4.0,Season
1630534,Agbaji,Ochai,ochai-agbaji,1610612761,raptors,0,Toronto,Raptors,TOR,30,G,6-5,215,Kansas,USA,2022,1,14,1.0,2022,2024,14.0,4.8,2.0,Season
1630583,Aldama,Santi,santi-aldama,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,7,F-C,7-0,215,Loyola-Maryland,Spain,2021,1,30,1.0,2021,2024,12.8,7.6,3.7,Season
1641725,Alexander,Trey,trey-alexander,1610612743,nuggets,0,Denver,Nuggets,DEN,23,G,6-4,185,Creighton,USA,,,,1.0,2024,2024,1.0,0.5,0.0,Season
1629638,Alexander-Walker,Nickeil,nickeil-alexander-walker,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,9,G,6-5,205,Virginia Tech,Canada,2019,1,17,1.0,2019,2024,8.4,2.6,2.7,Season
1628960,Allen,Grayson,grayson-allen,1610612756,suns,0,Phoenix,Suns,PHX,8,G,6-4,198,Duke,USA,2018,1,21,1.0,2018,2024,8.3,2.3,1.1,Season
1628386,Allen,Jarrett,jarrett-allen,1610612739,cavaliers,0,Cleveland,Cavaliers,CLE,31,C,6-9,243,Texas,USA,2017,1,22,1.0,2017,2024,13.9,11.1,1.7,Season
1630631,Alvarado,Jose,jose-alvarado,1610612740,pelicans,0,New Orleans,Pelicans,NOP,15,G,6-0,179,Georgia Tech,USA,,,,1.0,2021,2024,11.5,2.4,4.9,Season
