TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,11,4,7,0.364,528.0,109.9,111.7,114.9,117.6,-5.0,-5.9,0.675,1.79,19.0,0.305,0.687,0.495,0.15,0.535,0.575,105.8,103.68,86.4,1143,0.49,1,16,23,22,3,17,27,24,7,14,11,11,23,19,18,18,14,2,19
1610612738,Boston Celtics,11,9,2,0.818,538.0,116.4,119.4,105.9,108.7,10.5,10.7,0.582,2.01,17.3,0.279,0.72,0.497,0.118,0.552,0.591,101.4,98.86,82.38,1107,0.542,1,2,2,2,1,3,6,4,24,8,24,20,9,16,2,8,8,19,5
1610612751,Brooklyn Nets,10,4,6,0.4,490.0,109.3,112.7,110.6,113.4,-1.3,-0.8,0.65,1.73,18.8,0.282,0.705,0.487,0.152,0.543,0.579,99.5,96.83,80.69,987,0.471,9,16,17,18,9,16,17,16,14,18,14,19,14,22,20,13,13,29,22
1610612766,Charlotte Hornets,10,4,6,0.4,485.0,106.7,110.1,110.9,112.8,-4.2,-2.8,0.567,1.38,16.0,0.338,0.722,0.522,0.163,0.52,0.552,101.0,98.57,82.14,995,0.464,9,16,17,18,14,21,16,20,26,28,27,4,8,5,24,23,24,21,24
1610612741,Chicago Bulls,10,4,6,0.4,480.0,108.4,109.0,112.2,114.5,-3.7,-5.4,0.685,1.77,19.3,0.252,0.742,0.495,0.152,0.541,0.571,106.6,105.2,87.67,1053,0.469,9,16,17,18,18,24,19,23,2,15,9,26,4,18,19,15,17,1,23
1610612739,Cleveland Cavaliers,11,11,0,1.0,528.0,120.5,122.0,106.8,109.9,13.7,12.1,0.623,2.14,20.5,0.254,0.714,0.499,0.134,0.616,0.638,102.5,100.45,83.71,1107,0.57,1,1,1,1,3,1,9,2,18,5,1,25,11,15,8,1,1,9,1
1610612742,Dallas Mavericks,10,5,5,0.5,480.0,113.6,114.2,108.8,110.3,4.7,3.9,0.598,2.19,18.5,0.26,0.698,0.482,0.117,0.543,0.573,100.8,99.85,83.21,999,0.513,9,13,13,13,18,10,10,10,21,1,15,24,18,26,1,12,16,14,12
1610612743,Denver Nuggets,10,7,3,0.7,490.0,116.5,116.9,111.4,114.2,5.1,2.7,0.714,2.15,20.4,0.329,0.708,0.521,0.138,0.547,0.588,102.7,101.24,84.37,1034,0.524,9,6,6,6,9,6,18,12,1,4,2,5,13,6,13,10,11,7,8
1610612765,Detroit Pistons,11,4,7,0.364,528.0,105.9,109.3,109.2,111.7,-3.3,-2.4,0.599,1.38,17.4,0.315,0.733,0.527,0.176,0.533,0.565,100.8,98.09,81.74,1078,0.477,1,16,23,22,3,22,14,18,20,27,22,9,6,2,29,19,20,23,20
1610612744,Golden State Warriors,10,8,2,0.8,485.0,117.9,119.2,104.4,107.6,13.5,11.6,0.683,2.16,20.4,0.323,0.684,0.509,0.138,0.567,0.592,102.8,100.7,83.92,1018,0.557,9,3,2,3,14,4,3,3,4,3,3,7,25,10,11,4,7,8,3
