TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,11,4,7,0.364,48.0,41.5,89.4,0.464,12.6,36.0,0.351,20.5,26.5,0.777,11.0,31.5,42.5,28.0,15.6,10.1,5.3,5.7,19.8,21.3,116.1,-5.5,1,16,23,22,13,12,13,16,14,17,17,5,5,14,12,25,21,8,20,2,13,20,16,8,9,24
1610612738,Boston Celtics,11,9,2,0.818,48.9,41.1,91.3,0.45,18.5,51.3,0.362,19.5,23.5,0.829,10.3,33.2,43.5,23.9,11.9,7.9,4.7,4.7,16.4,20.5,120.2,10.5,1,2,2,2,7,15,6,21,1,1,11,8,13,2,19,16,17,22,2,16,19,13,1,14,5,4
1610612751,Brooklyn Nets,10,4,6,0.4,49.0,40.0,86.6,0.462,14.0,40.2,0.348,17.2,21.6,0.796,9.4,30.5,39.9,26.0,15.0,7.5,3.5,5.7,24.8,18.8,111.2,-1.1,9,16,17,18,2,19,22,17,9,7,19,20,22,9,23,27,29,12,17,20,29,19,29,22,18,17
1610612766,Charlotte Hornets,10,4,6,0.4,48.5,39.3,90.9,0.432,16.0,45.6,0.351,14.9,18.8,0.793,12.7,33.3,46.0,22.3,16.2,7.4,5.0,5.0,22.4,19.8,109.5,-3.0,9,16,17,18,9,23,7,28,4,2,18,30,30,10,6,15,6,26,23,21,14,15,24,18,21,21
1610612741,Chicago Bulls,10,4,6,0.4,48.0,41.3,90.7,0.455,15.5,41.9,0.37,16.7,22.2,0.752,10.6,36.2,46.8,28.3,16.0,7.2,3.8,6.0,17.6,18.2,114.8,-5.5,9,16,17,18,13,13,8,20,5,3,10,21,20,25,17,1,5,6,21,24,27,22,7,27,12,23
1610612739,Cleveland Cavaliers,11,11,0,1.0,48.0,46.1,87.3,0.528,15.3,36.2,0.422,15.3,20.3,0.753,7.8,33.5,41.4,28.7,13.5,9.5,5.6,4.5,19.7,18.7,122.7,12.5,1,1,1,1,13,1,18,1,7,16,1,29,26,22,30,13,25,5,8,4,10,11,14,23,1,2
1610612742,Dallas Mavericks,10,5,5,0.5,48.0,42.8,90.5,0.473,12.7,36.5,0.348,15.8,20.6,0.767,10.8,33.4,44.2,25.6,11.7,7.7,4.6,3.6,21.8,18.1,114.1,4.0,9,13,13,13,13,9,9,11,13,15,20,24,23,18,14,14,13,15,1,19,21,3,22,28,15,8
1610612743,Denver Nuggets,10,7,3,0.7,49.0,43.0,90.3,0.476,12.8,31.7,0.404,22.1,28.3,0.781,13.3,33.7,47.0,30.7,14.3,8.6,5.0,6.3,19.1,23.3,120.9,2.9,9,6,6,6,2,7,12,9,12,30,2,1,1,13,5,12,4,1,14,8,14,24,11,2,4,11
1610612765,Detroit Pistons,11,4,7,0.364,48.0,39.9,85.8,0.465,11.7,34.6,0.339,15.5,20.4,0.763,10.9,34.9,45.8,23.9,17.3,5.2,5.7,4.4,20.9,18.3,107.1,-2.5,1,16,23,22,13,20,25,15,23,21,21,28,25,19,13,6,7,22,28,30,7,8,18,26,26,19
1610612744,Golden State Warriors,10,8,2,0.8,48.5,44.2,92.4,0.478,16.3,41.3,0.395,16.6,22.9,0.725,13.6,34.6,48.2,30.2,14.0,9.6,5.7,5.3,22.7,18.7,121.3,11.9,9,3,2,3,9,3,4,6,3,5,4,22,19,29,2,8,1,3,12,3,8,18,26,24,2,3
