PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,POSITION,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,injury,status
1630173,Achiuwa,Precious,1610612752,New York,Knicks,NYK,F,Precious Achiuwa,,,,,,,,,,,,,,,,,,,,,,,Hamstring,Out
203500,Adams,Steven,1610612745,Houston,Rockets,HOU,C,Steven Adams,4,13.3,1.5,2.3,0.667,0.0,0.0,0.0,0.8,2.0,0.375,1.5,1.3,2.8,1.8,1.3,0.5,0.0,0.0,1.8,1.5,3.8,Knee,Game Time Decision
1628389,Adebayo,Bam,1610612748,Miami,Heat,MIA,C-F,Bam Adebayo,9,33.9,5.4,14.1,0.386,0.4,2.4,0.182,3.4,5.1,0.674,2.9,5.9,8.8,4.0,1.3,1.9,1.4,0.6,1.9,4.2,14.8,,
1630534,Agbaji,Ochai,1610612761,Toronto,Raptors,TOR,G,Ochai Agbaji,11,31.2,5.5,9.3,0.588,1.9,4.0,0.477,1.2,1.6,0.722,1.3,3.5,4.8,2.0,0.9,1.3,0.5,0.6,2.8,1.5,14.0,,
1630583,Aldama,Santi,1610612763,Memphis,Grizzlies,MEM,F-C,Santi Aldama,11,30.1,5.2,10.9,0.475,1.3,4.8,0.264,1.2,1.2,1.0,1.5,6.2,7.6,3.7,1.5,0.7,0.5,0.2,1.2,1.0,12.8,,
1641725,Alexander,Trey,1610612743,Denver,Nuggets,DEN,G,Trey Alexander,2,2.9,0.5,1.5,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,
1629638,Alexander-Walker,Nickeil,1610612750,Minnesota,Timberwolves,MIN,G,Nickeil Alexander-Walker,10,23.1,2.9,5.5,0.527,1.7,3.4,0.5,0.9,1.3,0.692,0.6,2.0,2.6,2.7,1.2,0.8,0.3,0.0,1.2,1.6,8.4,,
1628960,Allen,Grayson,1610612756,Phoenix,Suns,PHX,G,Grayson Allen,8,20.2,2.5,7.8,0.323,1.9,5.9,0.319,1.4,1.5,0.917,0.6,1.6,2.3,1.1,0.9,0.9,0.5,0.3,1.1,1.3,8.3,,
1628386,Allen,Jarrett,1610612739,Cleveland,Cavaliers,CLE,C,Jarrett Allen,11,29.7,5.5,8.5,0.656,0.0,0.0,0.0,2.8,3.9,0.721,2.1,9.0,11.1,1.7,1.3,0.9,1.4,0.5,1.5,3.6,13.9,,
1630631,Alvarado,Jose,1610612740,New Orleans,Pelicans,NOP,G,Jose Alvarado,10,26.3,3.9,9.6,0.406,2.3,5.6,0.411,1.4,1.7,0.824,0.6,1.8,2.4,4.9,1.3,1.6,0.3,0.4,2.4,1.4,11.5,,
203937,Anderson,Kyle,1610612744,Golden State,Warriors,GSW,F-G,Kyle Anderson,10,16.7,2.0,5.5,0.364,0.6,2.4,0.25,1.0,1.4,0.714,1.0,2.7,3.7,2.6,0.3,1.1,0.7,0.0,0.8,1.1,5.6,,
203507,Antetokounmpo,Giannis,1610612749,Milwaukee,Bucks,MIL,F,Giannis Antetokounmpo,9,34.7,12.9,21.2,0.607,0.1,0.7,0.167,5.7,10.2,0.554,2.3,10.4,12.8,5.2,2.7,0.4,0.9,1.0,3.6,8.0,31.6,,
1630175,Anthony,Cole,1610612753,Orlando,Magic,ORL,G,Cole Anthony,9,12.1,1.4,4.1,0.351,0.6,2.1,0.263,1.3,1.9,0.706,0.3,2.2,2.6,2.1,1.4,0.8,0.1,0.2,1.3,2.2,4.8,,
1628384,Anunoby,OG,1610612752,New York,Knicks,NYK,F-G,OG Anunoby,9,36.0,5.6,11.8,0.472,2.2,5.4,0.408,2.2,2.7,0.833,0.8,3.7,4.4,2.7,1.2,1.7,0.6,0.8,2.3,1.8,15.6,,
1630166,Avdija,Deni,1610612757,Portland,Trail Blazers,POR,F,Deni Avdija,11,25.5,2.9,8.4,0.348,0.5,3.2,0.171,2.6,3.5,0.763,1.4,4.3,5.6,3.0,2.0,1.0,0.8,0.5,1.7,2.6,9.0,,
1629028,Ayton,Deandre,1610612757,Portland,Trail Blazers,POR,C,Deandre Ayton,11,29.3,6.2,11.9,0.519,0.5,1.2,0.385,0.5,0.7,0.625,3.0,7.5,10.5,1.0,1.5,0.9,0.5,0.4,2.0,1.5,13.3,,
1628963,Bagley III,Marvin,1610612764,Washington,Wizards,WAS,F,Marvin Bagley III,6,6.9,1.5,3.0,0.5,0.0,0.5,0.0,0.8,1.2,0.714,1.2,1.7,2.8,0.2,0.7,0.0,0.2,0.0,0.2,1.0,3.8,,
1631116,Baldwin Jr.,Patrick,1610612764,Washington,Wizards,WAS,F,Patrick Baldwin Jr.,6,5.9,1.2,2.8,0.412,0.5,1.5,0.333,0.2,0.3,0.5,0.3,0.8,1.2,0.2,0.2,0.3,0.2,0.3,0.5,0.3,3.0,,
1630163,Ball,LaMelo,1610612766,Charlotte,Hornets,CHA,G,LaMelo Ball,10,33.4,10.2,23.0,0.443,4.8,13.0,0.369,4.2,5.0,0.84,1.0,3.9,4.9,6.2,4.7,1.5,0.3,1.1,4.1,4.2,29.4,,
